en-cat	cat	en-sp	sp
Annual accounts for 2017	Comptes anuals 2017	Annual accounts for 2017	Cuentas anuales 2017
(Together with audit report)	(juntament amb l'informe d’auditoria)	(Together with audit report)	(junto con el informe de auditoría)
PUBLIC AUDIT REPORT OF THE ANNUAL ACCOUNTS OF THE BARCELONA CITY COUNCIL OF RELATED YEAR 20171	INFORME D'AUDITORIA PÚBLICA DELS COMPTES ANUALS DE L'AJUNTAMENT DE BARCELONA CORRESPONENTS A L'EXERCICI 2017	PUBLIC AUDIT REPORT OF THE ANNUAL ACCOUNTS OF THE BARCELONA CITY COUNCIL OF RELATED YEAR 20171	INFORME DE AUDITORIA PÚBLICA DE LAS CUENTAS ANUALES DEL AYUNTAMIENTO DE BARCELONA CORRESPONDIENTES AL EJERCICIO 2017
To the Municipal Council of the Barcelona City,	Al Consell Municipal de l'Ajuntament de Barcelona,	To the Municipal Council of the Barcelona City,	Al Consejo Municipal del Ayuntamiento de Barcelona,
I. Introduction	I. Introducció	I. Introduction	I. Introducción
We have audited the accompanying annual accounts of the Barcelona City Council, in order to the standards of Public Sector, which comprise the balance sheet as at December 31, 2017, the income statement, the statement of changes in equity, the cash flow statement, the budget implementation statement and the notes thereto for the year then ended.	Hem realitzat, d'acord amb les Normes d’Auditoria del Sector Públic, l'auditoria dels comptes anuals adjunts de l'Ajuntament de Barcelona (en endavant l'Ajuntament) que comprenen el balanç a 31 de desembre de 2017, el compte del resultat econòmic-patrimonial, l'estat de canvis en el patrimoni net, l'estat de fluxos d'efectiu, l'estat de liquidació del pressupost i la memòria corresponents a l'exercici anual acabat en aquesta data.	We have audited the accompanying annual accounts of the Barcelona City Council, in order to the standards of Public Sector, which comprise the balance sheet as at December 31, 2017, the income statement, the statement of changes in equity, the cash flow statement, the budget implementation statement and the notes thereto for the year then ended.	Hemos realizado, de acuerdo con las Normas de Auditoria del Sector Publico, la auditoria de las cuentas anuales adjuntas del Ayuntamiento de Barcelona (en adelante el Ayuntamiento) que comprenden el balance de situación a 31 de diciembre de 2017, la cuenta de resultado económico-patrimonial, el estado de cambios en el patrimonio neto, el estado de flujos de efectivo, el estado de liquidación del presupuesto y la memoria correspondientes al ejercicio anual terminado en dicha fecha.
This audit has been carried out in accordance with the provisions of section 58.e) and 74 of Law 1/2006, of 13 March 2006, regulating the special regime of the municipality of Barcelona, and the stipulations of the administrative clauses and technical specifications of the contract for the provision of audit services for the individual and consolidated annual accounts of the Barcelona City Council and its municipal economic Group.	Aquesta auditoria ha estat realitzada dins del marc que preveuen els articles 58.e) i 74 de la Llei 1/2006, de 13 de març, per la qual es regula el règim especial del municipi de Barcelona i l’establert als Plecs de Clàusules Administratives Particulars i Tècniques del contracte de serveis d'auditoria dels comptes anuals de l'Ajuntament de Barcelona i del seu grup municipal.	This audit has been carried out in accordance with the provisions of section 58.e) and 74 of Law 1/2006, of 13 March 2006, regulating the special regime of the municipality of Barcelona, and the stipulations of the administrative clauses and technical specifications of the contract for the provision of audit services for the individual and consolidated annual accounts of the Barcelona City Council and its municipal economic Group.	Esta auditoría se ha realizado en el marco previsto en los artículos 58.e) y 74 de la Ley 1/2006, 13 de marzo, en los cuales se regula el régimen especial del municipio de Barcelona, y lo establecido en los Pliegos de Cláusulas Administrativas Particulares y Técnicas del contrato de servicios de auditoría de cuentas anuales del Ayuntamiento de Barcelona y de su grupo municipal.
The municipal manager is responsible for the preparation of these annual accounts in accordance with the criteria for financial reporting described in note 3.1 of the accompanying notes and, specifically, with the conceptual framework of public accounting and recognition and valuation rules includes on the Order HAP/1781/2013, of 20th September, by which the Instruction of the normal model of the local accounting is approved.	El Gerent Municipal és responsable de la formulació dels comptes anuals de l'Ajuntament d'acord amb el marc d'informació financera que es detalla a la nota 3.1 de la memòria adjunta i en particular, amb el marc conceptual de la comptabilitat pública i les normes de reconeixement i valoració incloses en la Ordre HAP/1781/2013, de 20 de setembre, per la qual s'aprova la Instrucció del Model Normal de Comptabilitat Local.	The municipal manager is responsible for the preparation of these annual accounts in accordance with the criteria for financial reporting described in note 3.1 of the accompanying notes and, specifically, with the conceptual framework of public accounting and recognition and valuation rules includes on the Order HAP/1781/2013, of 20th September, by which the Instruction of the normal model of the local accounting is approved.	El Gerente Municipal es responsable de la formulación de las cuentas anuales del Ayuntamiento de acuerdo con el marco de información financiera que se detalla en la nota 3.1 de la memoria adjunta y en particular, con el marco conceptual de la contabilidad pública y las normas de reconocimiento y valoración incluidas en la Orden HAP/1781/2013, de 20 de septiembre, por la que se aprueba la Instrucción del modelo normal de contabilidad local.
The annual accounts which this report refers to have been prepared by the manager on 23 May 2018.	Els comptes anuals a què es refereix aquest informe han estat formulats pel Gerent Municipal en data 23 de maig de 2018.	The annual accounts which this report refers to have been prepared by the manager on 23 May 2018.	Las cuentas anuales a las que se refiere este informe han sido formuladas por el Gerente Municipal el 23 de mayo de 2017.
II. Purpose and scope of the work: Auditor's responsibility	II. Objectiu i abast del treball: responsabilitat de l'auditor	II. Purpose and scope of the work: Auditor's responsibility	II. Objetivo y alcance del trabajo: responsabilidad del auditor
