1-1	0.173077	﻿Annual accounts for 2017	﻿Comptes anuals 2017
1-1	0.43625	(Together with audit report)	(juntament amb l'informe d’auditoria)
1-1	1.77073	PUBLIC AUDIT REPORT OF THE ANNUAL ACCOUNTS OF THE BARCELONA CITY COUNCIL OF RELATED YEAR 20171	INFORME D'AUDITORIA PÚBLICA DELS COMPTES ANUALS DE L'AJUNTAMENT DE BARCELONA CORRESPONENTS A L'EXERCICI 2017
1-1	1.3	To the Municipal Council of the Barcelona City,	Al Consell Municipal de l'Ajuntament de Barcelona,
1-1	1.00142	I. Introduction	I. Introducció
1-1	1.78201	We have audited the accompanying annual accounts of the Barcelona City Council, in order to the standards of Public Sector, which comprise the balance sheet as at December 31, 2017, the income statement, the statement of changes in equity, the cash flow statement, the budget implementation statement and the notes thereto for the year then ended.	Hem realitzat, d'acord amb les Normes d’Auditoria del Sector Públic, l'auditoria dels comptes anuals adjunts de l'Ajuntament de Barcelona (en endavant l'Ajuntament) que comprenen el balanç a 31 de desembre de 2017, el compte del resultat econòmic-patrimonial, l'estat de canvis en el patrimoni net, l'estat de fluxos d'efectiu, l'estat de liquidació del pressupost i la memòria corresponents a l'exercici anual acabat en aquesta data.
1-1	1.21893	This audit has been carried out in accordance with the provisions of section 58.e) and 74 of Law 1/2006, of 13 March 2006, regulating the special regime of the municipality of Barcelona, and the stipulations of the administrative clauses and technical specifications of the contract for the provision of audit services for the individual and consolidated annual accounts of the Barcelona City Council and its municipal economic Group.	Aquesta auditoria ha estat realitzada dins del marc que preveuen els articles 58.e) i 74 de la Llei 1/2006, de 13 de març, per la qual es regula el règim especial del municipi de Barcelona i l’establert als Plecs de Clàusules Administratives Particulars i Tècniques del contracte de serveis d'auditoria dels comptes anuals de l'Ajuntament de Barcelona i del seu grup municipal.
1-1	2.59435	The municipal manager is responsible for the preparation of these annual accounts in accordance with the criteria for financial reporting described in note 3.1 of the accompanying notes and, specifically, with the conceptual framework of public accounting and recognition and valuation rules includes on the Order HAP/1781/2013, of 20th September, by which the Instruction of the normal model of the local accounting is approved.	El Gerent Municipal és responsable de la formulació dels comptes anuals de l'Ajuntament d'acord amb el marc d'informació financera que es detalla a la nota 3.1 de la memòria adjunta i en particular, amb el marc conceptual de la comptabilitat pública i les normes de reconeixement i valoració incloses en la Ordre HAP/1781/2013, de 20 de setembre, per la qual s'aprova la Instrucció del Model Normal de Comptabilitat Local.
1-1	0.882692	The annual accounts which this report refers to have been prepared by the manager on 23 May 2018.	Els comptes anuals a què es refereix aquest informe han estat formulats pel Gerent Municipal en data 23 de maig de 2018.
1-1	0.820059	II. Purpose and scope of the work: Auditor's responsibility	II. Objectiu i abast del treball: responsabilitat de l'auditor
1-1	1.06206	Our responsibility is to express an opinion on whether the accompanying annual accounts of the Barcelona City Council give a true and fair view based on the work that we have carried out in accordance with the auditing standards of the public sector, as well as the results of the operations reflected in the economic-equity income statement and in the budget settlement, and of the resources obtained and applied during the year, and contain the information necessary for its interpretation and adequate understanding.	La nostra responsabilitat és emetre una opinió, basada en el treball realitzat, d'acord amb les Normes d'Auditoria del Sector Públic, sobre si els comptes anuals adjunts de l'Ajuntament expressen, en tots els seus aspectes significatius, la imatge fidel del seu patrimoni i de la seva situació financera, així com dels resultats de les seves operacions reflectides en el compte del resultat econòmic-patrimonial i en la liquidació del pressupost, i dels recursos obtinguts i aplicats durant l'exercici, i contenen la informació necessària per a la seva interpretació i comprensió adequada.
1-1	-0.3	1 This report is a translation of the Barcelona City Council public audit report un the annual accounts for the year ended on December 31st, 2017 which is issued in Catalan in May 30th, 2018. Any opinion must be referred to the abovementioned Catalan audit report version. Only the audit report issued in Catalan is authentic, and is accompanied by the annual accounts.	Atès el caràcter limitatiu del pressupost de despeses de l'entitat l'objectiu de l'auditoria inclou la verificació del compliment en els aspectes mes significatius de les normes pressupostàries especialment el compliment de les regles pressupostàries de limitació quantitativa, qualitativa i temporal i les relatives a modificacions pressupostàries.
1-0	0.489124	In view of the limiting nature of the entity's expenditure budget the objective of the audit includes verification of compliance in the most significant aspects of the budgetary rules in particular compliance with the quantitative, qualitative and temporal limits of budgetary rules and those related to budget modifications.	
1-1	1.04201	Those standards require that we plan and perform the audit to obtain a reasonable assurance, but not absolute, about whether the annual accounts are free from material misstatement.	Aquestes normes exigeixen que planifiquem i executem l'auditoria per tal d'obtenir una seguretat raonable, tot i que no absoluta, que els comptes anuals estan lliures d'incorreccions materials.
1-1	0.545192	An audit requires performing procedures to obtain audit evidence about the amounts and information in the annual accounts. The procedures selected depend on the auditor's judgment, including the assessment of the risks of material misstatement of the annual accounts. In making those risk assessments, the auditor considers internal control relevant to entity's preparation of annual accounts in order to design audit procedures that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the effectiveness of the entity's internal control. An audit also includes evaluating the appropriateness of accounting policies used and the reasonableness of accounting estimates made by management, as well as evaluating the overall presentation of the annual accounts.	Una auditoria financera comporta l'aplicació de procediments per obtenir evidència adequada i suficient sobre els imports i la informació recollida en els comptes anuals. Els procediments seleccionats depenen del judici de l'auditor, inclosa la valoració dels riscos d'incorrecció material en els comptes anuals. En efectuar aquestes valoracions del risc, l'auditor té en compte el control intern rellevant per a la preparació i presentació raonable per part del gestor de comptes anuals, a fi de dissenyar els procediments d'auditoria que siguin adequats en funció de les circumstàncies, i no amb la finalitat d'expressar una opinió sobre l'eficàcia del control intern de l'entitat. Una auditoria financera també inclou l'avaluació de l'adequació dels criteris comptables i de la raonabilitat de les estimacions comptables realitzades pel gestor, així com l'avaluació de la presentació global dels comptes anuals.
1-1	0.194118	We believe that the audit evidence we have obtained is sufficient and appropriate to provide a basis for our audit opinion.	Considerem que l'evidència d'auditoria que hem obtingut proporciona una base suficient i adequada per emetre la nostra opinió d'auditoria.
1-1	1.25748	III. Audit opinion	III.Opinió d'auditoria
