1-1	0.230769	﻿Annual accounts for 2017	﻿Cuentas anuales 2017
1-1	0.0451103	(Together with audit report)	(junto con el informe de auditoría)
1-1	1.38841	PUBLIC AUDIT REPORT OF THE ANNUAL ACCOUNTS OF THE BARCELONA CITY COUNCIL OF RELATED YEAR 20171	INFORME DE AUDITORIA PÚBLICA DE LAS CUENTAS ANUALES DEL AYUNTAMIENTO DE BARCELONA CORRESPONDIENTES AL EJERCICIO 2017
1-1	1.28	To the Municipal Council of the Barcelona City,	Al Consejo Municipal del Ayuntamiento de Barcelona,
1-1	1.22772	I. Introduction	I. Introducción
1-1	1.69003	We have audited the accompanying annual accounts of the Barcelona City Council, in order to the standards of Public Sector, which comprise the balance sheet as at December 31, 2017, the income statement, the statement of changes in equity, the cash flow statement, the budget implementation statement and the notes thereto for the year then ended.	Hemos realizado, de acuerdo con las Normas de Auditoria del Sector Publico, la auditoria de las cuentas anuales adjuntas del Ayuntamiento de Barcelona (en adelante el Ayuntamiento) que comprenden el balance de situación a 31 de diciembre de 2017, la cuenta de resultado económico-patrimonial, el estado de cambios en el patrimonio neto, el estado de flujos de efectivo, el estado de liquidación del presupuesto y la memoria correspondientes al ejercicio anual terminado en dicha fecha.
1-1	1.35336	This audit has been carried out in accordance with the provisions of section 58.e) and 74 of Law 1/2006, of 13 March 2006, regulating the special regime of the municipality of Barcelona, and the stipulations of the administrative clauses and technical specifications of the contract for the provision of audit services for the individual and consolidated annual accounts of the Barcelona City Council and its municipal economic Group.	Esta auditoría se ha realizado en el marco previsto en los artículos 58.e) y 74 de la Ley 1/2006, 13 de marzo, en los cuales se regula el régimen especial del municipio de Barcelona, y lo establecido en los Pliegos de Cláusulas Administrativas Particulares y Técnicas del contrato de servicios de auditoría de cuentas anuales del Ayuntamiento de Barcelona y de su grupo municipal.
1-1	2.75595	The municipal manager is responsible for the preparation of these annual accounts in accordance with the criteria for financial reporting described in note 3.1 of the accompanying notes and, specifically, with the conceptual framework of public accounting and recognition and valuation rules includes on the Order HAP/1781/2013, of 20th September, by which the Instruction of the normal model of the local accounting is approved.	El Gerente Municipal es responsable de la formulación de las cuentas anuales del Ayuntamiento de acuerdo con el marco de información financiera que se detalla en la nota 3.1 de la memoria adjunta y en particular, con el marco conceptual de la contabilidad pública y las normas de reconocimiento y valoración incluidas en la Orden HAP/1781/2013, de 20 de septiembre, por la que se aprueba la Instrucción del modelo normal de contabilidad local.
1-1	0.576923	The annual accounts which this report refers to have been prepared by the manager on 23 May 2018.	Las cuentas anuales a las que se refiere este informe han sido formuladas por el Gerente Municipal el 23 de mayo de 2017.
1-1	0.927886	II. Purpose and scope of the work: Auditor's responsibility	II. Objetivo y alcance del trabajo: responsabilidad del auditor
1-1	1.27963	Our responsibility is to express an opinion on whether the accompanying annual accounts of the Barcelona City Council give a true and fair view based on the work that we have carried out in accordance with the auditing standards of the public sector, as well as the results of the operations reflected in the economic-equity income statement and in the budget settlement, and of the resources obtained and applied during the year, and contain the information necessary for its interpretation and adequate understanding.	Nuestra responsabilidad es emitir una opinión, basada en el trabajo realizado, de acuerdo con las Normas de Auditoria del Sector Publico, sobre si las cuentas anuales adjuntas del Ayuntamiento expresan, en todos sus aspectos significativos, la imagen fiel de su patrimonio y de la situación financiera, así como de los resultados de sus operaciones reflejadas en la cuenta de resultado económico-patrimonial y en la liquidación del presupuesto, y de los recursos obtenidos y aplicados durante el ejercicio, y contienen la información necesaria para su interpretación y comprensión adecuada.
1-1	0.985232	1 This report is a translation of the Barcelona City Council public audit report un the annual accounts for the year ended on December 31st, 2017 which is issued in Catalan in May 30th, 2018. Any opinion must be referred to the abovementioned Catalan audit report version. Only the audit report issued in Catalan is authentic, and is accompanied by the annual accounts.	1 Este informe esta una traducción del informe de auditoría independiente del Ayuntamiento de Barcelona sobre las cuentas anuales del ejercicio anual terminado el 31 de diciembre de 2017 que se emitió en catalán el 30 de mayo de 2018. Cualquier opinión debe remitirse a la versión en catalán del informe citado. Únicamente el informe de auditoría emitido en catalán es auténtico y se acompaña de las cuentas anuales.
1-1	0.688632	In view of the limiting nature of the entity's expenditure budget the objective of the audit includes verification of compliance in the most significant aspects of the budgetary rules in particular compliance with the quantitative, qualitative and temporal limits of budgetary rules and those related to budget modifications.	Atendiendo al carácter limitativo del presupuesto de gastos de la entidad el objetivo de la auditoria incluye la verificación del cumplimiento en los aspectos más significativos de las normas presupuestarias especialmente el cumplimiento de las reglas presupuestarias de limitación cuantitativa, cualitativa y temporal y las relativas a modificaciones presupuestarias.
1-1	1.20079	Those standards require that we plan and perform the audit to obtain a reasonable assurance, but not absolute, about whether the annual accounts are free from material misstatement.	Estas normas exigen que planifiquemos y ejecutemos la auditoria con el fin de obtener una seguridad razonable, aunque no absoluta, que las cuentas anuales están libres de incorrección material.
1-1	0.63986	An audit requires performing procedures to obtain audit evidence about the amounts and information in the annual accounts. The procedures selected depend on the auditor's judgment, including the assessment of the risks of material misstatement of the annual accounts. In making those risk assessments, the auditor considers internal control relevant to entity's preparation of annual accounts in order to design audit procedures that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the effectiveness of the entity's internal control. An audit also includes evaluating the appropriateness of accounting policies used and the reasonableness of accounting estimates made by management, as well as evaluating the overall presentation of the annual accounts.	Una auditoría financiera conlleva la aplicación de procedimientos para obtener evidencia adecuada y suficiente sobre los importes y la información recogida en las cuentas anuales. Los procedimientos seleccionados dependen del juicio del auditor, incluida la valoración de los riegos de incorrección material en las cuentas anuales. Al efectuar dichas valoraciones del riesgo, el auditor tiene en cuenta el control interno relevante para la preparación y presentación razonable por parte del gestor de las cuentas anuales, con el fin de diseñar los procedimientos de auditoria que sean adecuados en función de las circunstancias, y no con la finalidad de expresar una opinión sobre la eficacia del control interno de la entidad. Una auditoría financiera también incluye la evaluación de la adecuación de los criterios contables y de la razonabilidad de las estimaciones contables realizadas por el gestor, así como la evaluación de la presentación global de las cuentas anuales.
1-1	0.926471	We believe that the audit evidence we have obtained is sufficient and appropriate to provide a basis for our audit opinion.	Consideramos que la evidencia de auditoria que hemos obtenido proporciona una base suficiente y adecuada para emitir nuestra opinión de auditoria.
1-1	1.32417	III. Audit opinion	III. Opinión de auditoria
