name;worker;source_lang;target_lang;reference;bleu;sacrebleu
35_f-e-time-travel-agency;rb-EU_fromEN-en_to_41;en;de;TTde;7.784;11.895
35_f-e-time-travel-agency;rb-EU_fromEN-en_to_41;en;cs;TTcs2;7.705;11.273
35_f-e-time-travel-agency;rb-EU_fromEN-en_to_41;en;cs;TTcs1;4.074;9.298
35_f-e-time-travel-agency;cs-CZ;en;cs;TTcs2;4.959;7.249
35_f-e-time-travel-agency;cs-CZ;en;cs;TTcs1;4.03;9.152
14_llibres-i-revistes-edb;rb-EU_fromEN-en_to_41;en;cs;TTcs2;5.091;7.045
14_llibres-i-revistes-edb;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.197;7.557
14_llibres-i-revistes-edb;rb-EU_fromEN-en_to_41;en;de;TTde;3.805;6.167
14_llibres-i-revistes-edb;cs-CZ;en;cs;TTcs2;5.498;8.456
14_llibres-i-revistes-edb;cs-CZ;en;cs;TTcs1;4.78;8.279
05_i-dodge;rb-EU_fromEN-en_to_41;en;cs;TTcs1;3.989;7.963
05_i-dodge;rb-EU_fromEN-en_to_41;en;cs;TTcs2;4.52;6.458
05_i-dodge;rb-EU_fromEN-en_to_41;en;de;TTde;3.979;8.812
05_i-dodge;cs-CZ;en;cs;TTcs1;4.276;7.934
05_i-dodge;cs-CZ;en;cs;TTcs2;4.77;6.769
33_logistic-servis;rb-EU_fromEN-en_to_41;en;de;TTde;5.789;7.363
33_logistic-servis;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.576;5.317
33_logistic-servis;rb-EU_fromEN-en_to_41;en;cs;TTcs2;4.363;4.811
33_logistic-servis;cs-CZ;en;cs;TTcs1;4.687;8.415
33_logistic-servis;cs-CZ;en;cs;TTcs2;3.988;7.659
12_fictionalcine;rb-EU_fromEN-en_to_41;en;cs;TTcs1;4.785;2.385
12_fictionalcine;rb-EU_fromEN-en_to_41;en;cs;TTcs2;5.032;1.602
12_fictionalcine;rb-EU_fromEN-en_to_41;en;de;TTde;5.238;2.649
12_fictionalcine;cs-CZ;en;cs;TTcs1;5.342;3.06
12_fictionalcine;cs-CZ;en;cs;TTcs2;5.363;2.533
27_f-e-international-tour;rb-EU_fromEN-en_to_41;en;cs;TTcs2;4.089;6.961
27_f-e-international-tour;rb-EU_fromEN-en_to_41;en;de;TTde;4.531;7.883
27_f-e-international-tour;rb-EU_fromEN-en_to_41;en;cs;TTcs1;3.954;3.461
27_f-e-international-tour;cs-CZ;en;cs;TTcs2;5.843;8.336
27_f-e-international-tour;cs-CZ;en;cs;TTcs1;3.942;7.509
16_develop-most;rb-EU_fromEN-en_to_41;en;cs;TTcs2;7.026;10.842
16_develop-most;rb-EU_fromEN-en_to_41;en;de;TTde;7.043;10.348
16_develop-most;rb-EU_fromEN-en_to_41;en;cs;TTcs1;4.653;7.588
16_develop-most;cs-CZ;en;cs;TTcs2;8.832;13.153
16_develop-most;cs-CZ;en;cs;TTcs1;6.082;9.268
08_jizeran;rb-EU_fromEN-en_to_41;en;cs;TTcs2;3.58;6.333
08_jizeran;rb-EU_fromEN-en_to_41;en;de;TTde;7.256;12.465
08_jizeran;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.23;10.08
08_jizeran;cs-CZ;en;cs;TTcs2;7.571;10.299
08_jizeran;cs-CZ;en;cs;TTcs1;9.437;14.438
18_tf-magic-world;rb-EU_fromEN-en_to_41;en;cs;TTcs1;2.692;1.786
18_tf-magic-world;rb-EU_fromEN-en_to_41;en;de;TTde;4.62;4.212
18_tf-magic-world;rb-EU_fromEN-en_to_41;en;cs;TTcs2;2.872;1.702
18_tf-magic-world;cs-CZ;en;cs;TTcs1;2.431;1.349
18_tf-magic-world;cs-CZ;en;cs;TTcs2;2.292;1.89
04_g-t;rb-EU_fromEN-en_to_41;en;de;TTde;3.478;5.66
04_g-t;rb-EU_fromEN-en_to_41;en;cs;TTcs2;4.461;6.252
04_g-t;rb-EU_fromEN-en_to_41;en;cs;TTcs1;6.221;8.859
04_g-t;cs-CZ;en;cs;TTcs2;5.846;7.968
04_g-t;cs-CZ;en;cs;TTcs1;4.113;6.457
34_kol_action_accessoires;rb-EU_fromEN-en_to_41;en;de;TTde;5.898;6.257
34_kol_action_accessoires;rb-EU_fromEN-en_to_41;en;cs;TTcs1;4.01;4.319
34_kol_action_accessoires;rb-EU_fromEN-en_to_41;en;cs;TTcs2;3.549;2.762
34_kol_action_accessoires;cs-CZ;en;cs;TTcs1;3.975;3.268
34_kol_action_accessoires;cs-CZ;en;cs;TTcs2;4.013;3.777
23_pillowdream;rb-EU_fromEN-en_to_41;en;de;TTde;9.934;14.615
23_pillowdream;rb-EU_fromEN-en_to_41;en;cs;TTcs1;3.701;5.335
23_pillowdream;rb-EU_fromEN-en_to_41;en;cs;TTcs2;4.154;3.139
23_pillowdream;cs-CZ;en;cs;TTcs1;4.75;7.596
23_pillowdream;cs-CZ;en;cs;TTcs2;4.557;3.501
07_bucherinsel-west;rb-EU_fromEN-en_to_41;en;cs;TTcs2;4.517;4.404
