Lines	Words	File_name
853	12976	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/BRH_2013.cs
853	14011	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/BRH_2013.de
853	16940	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/BRH_2013.en
274	5678	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_04_07.cs
274	7122	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_04_07.en
246	5252	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_04_23.cs
246	6084	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_04_23.en
384	8737	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_05_19.cs
384	11387	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_05_19.en
221	5304	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_05_34.cs
221	6367	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_05_34.en
197	3343	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_06_03.cs
197	3388	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_06_03.de
197	4144	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_06_03.en
862	17439	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_06_27.cs
862	18491	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_06_27.de
862	21494	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_06_27.en
626	11758	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_09_11_OCR.cs
626	11193	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_09_11_OCR.de
626	14153	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_09_11_OCR.en
90	1988	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_13_04.cs
90	2480	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_13_04.en
959	19764	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_15_33.cs
959	23789	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/KA_15_33.en
29	499	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/SMLprodl.cs
29	597	../../elitr-testset/documents/wmt19-elitr-testsuite/reference/SMLprodl.en
