Lines	Words	File_name
25	240	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/03_botel-proti-proudu.en.OSt
240	2670	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/03_botel-proti-proudu.en.OStt
25	211	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/03_botel-proti-proudu.en.TTcs1
25	203	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/03_botel-proti-proudu.en.TTcs2
25	233	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/03_botel-proti-proudu.en.TTde
15	175	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/04_g-t.en.OSt
175	1933	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/04_g-t.en.OStt
15	136	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/04_g-t.en.TTcs1
15	133	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/04_g-t.en.TTcs2
15	148	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/04_g-t.en.TTde
27	244	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/05_i-dodge.en.OSt
244	2694	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/05_i-dodge.en.OStt
27	208	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/05_i-dodge.en.TTcs1
27	203	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/05_i-dodge.en.TTcs2
27	242	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/05_i-dodge.en.TTde
14	148	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/06_masaze-petr-klic.en.OSt
148	1654	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/06_masaze-petr-klic.en.OStt
14	119	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/06_masaze-petr-klic.en.TTcs1
14	128	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/06_masaze-petr-klic.en.TTcs2
14	147	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/06_masaze-petr-klic.en.TTde
12	183	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/07_bucherinsel-west.en.OSt
179	3247	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/07_bucherinsel-west.en.OStt
12	133	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/07_bucherinsel-west.en.TTcs1
12	139	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/07_bucherinsel-west.en.TTcs2
12	162	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/07_bucherinsel-west.en.TTde
10	138	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/08_jizeran.en.OSt
137	1743	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/08_jizeran.en.OStt
10	104	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/08_jizeran.en.TTcs1
10	116	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/08_jizeran.en.TTcs2
10	130	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/08_jizeran.en.TTde
21	152	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/09_il-gabbiano.en.OSt
21	123	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/09_il-gabbiano.en.TTcs1
