Lines	Words	File_name
371	6519	../../elitr-testset/documents/linguistic-mondays/20191118-jana-strakova-monday-seminar.en.OSt
1	1	../../elitr-testset/documents/linguistic-mondays/20191118-jana-strakova-monday-seminar.en.wav.LINK
1	2	../../elitr-testset/documents/linguistic-mondays/20191118-jana-strakova-monday-seminar.en.wav.md5
196	2507	../../elitr-testset/documents/linguistic-mondays/20191121-matfyz-open-day-adam-dingle.en.OSt
1	1	../../elitr-testset/documents/linguistic-mondays/20191121-matfyz-open-day-adam-dingle.en.wav.LINK
1	2	../../elitr-testset/documents/linguistic-mondays/20191121-matfyz-open-day-adam-dingle.en.wav.md5
134	2992	../../elitr-testset/documents/linguistic-mondays/20200106-ivana-kvaplikova-monday-seminar.en.OSt
1	1	../../elitr-testset/documents/linguistic-mondays/20200106-ivana-kvaplikova-monday-seminar.en.wav.LINK
1	2	../../elitr-testset/documents/linguistic-mondays/20200106-ivana-kvaplikova-monday-seminar.en.wav.md5
846	12920	../../elitr-testset/documents/linguistic-mondays/20200217-ondrej-bojar-what-can-go-wrong-in-live-SLT.en.OSt
1	1	../../elitr-testset/documents/linguistic-mondays/20200217-ondrej-bojar-what-can-go-wrong-in-live-SLT.en.mp3.LINK
1	2	../../elitr-testset/documents/linguistic-mondays/20200217-ondrej-bojar-what-can-go-wrong-in-live-SLT.en.mp3.md5
819	9679	../../elitr-testset/documents/linguistic-mondays/20200302-shadi-saleh-monday-seminar.en.OSt
1	1	../../elitr-testset/documents/linguistic-mondays/20200302-shadi-saleh-monday-seminar.en.wav.LINK
1	2	../../elitr-testset/documents/linguistic-mondays/20200302-shadi-saleh-monday-seminar.en.wav.md5
