Lines	Words	File_name
5000		79648	../../elitr-testset/documents/confidential/intercorp/de2en/shufsplit-test/shuffled.de
5000		80551	../../elitr-testset/documents/confidential/intercorp/de2en/shufsplit-test/shuffled.en
220	1788	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001a.en.OSt
220		1572	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001a.en.TTde
614		4869	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001b.en.OSt
614		4357	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001b.en.TTde
401		3455	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001c.en.OSt
401		3209	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001c.en.TTde
281	1614	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001d.en.OSt
281	1510	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001d.en.TTde
14	176	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-01_teddy.en.OSt
14		153	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-01_teddy.en.TTde
12	171	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-02_autocentrum-oa.en.OSt
12		145	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-02_autocentrum-oa.en.TTde
25		529	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/auditing-portuguese.en.OSt
25		510	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/auditing-portuguese.en.TTde
25		240	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/03_botel-proti-proudu.en.OSt
25		233	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/03_botel-proti-proudu.en.TTde
15	175	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/04_g-t.en.OSt
15		148	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/04_g-t.en.TTde
27		244	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/antrecorp/05_i-dodge.en.OSt
